sampleID	strahler order	Longitude-DD	Latitude-DD	stratum	design weight	weight category	station	state	status	comment	set	Basin	SubBasin	BayShed	BayPanel	EcoRegion	BioRegion	Year	Panel	BioPanel	Order	BasinSize	StreamSizeCat	StreamSizeCatPhase	IR2008	IR2010	IR2012	IR2014	IR2016
1AFLL000.62	2	-77.467681	38.86551	1	947.6292	2	15	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2001	Phase1	Phase1	2	2	Small	Phase1Small	2008	1	1	1	1
1AGAN000.32	2	-78.277074	39.220106	1	947.6292	2	16	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2003	Phase1	Phase1	2	2	Small	Phase1Small	2008	2010	1	1	1
1AGOO018.17	4	-77.666	39.0299	1	315.8764	4	17	VA	TS	Target Wadeable	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2012	Phase2	Phase4	4	3	Large	Phase2Large	1	1	1	2014	2016
1AGOO021.28	4	-77.68313386	39.01264402	1	315.8764	4	18	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2007	Phase1	Phase3	4	3	Large	Phase1Large	1	2010	2012	2014	1
1AGOO036.47	4	-77.86691869	38.93869439	1	315.8764	4	19	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2006	Phase1	Phase2	4	3	Large	Phase1Large	2008	2010	2012	1	1
1AGOO039.63	4	-77.8737	38.9294	1	315.8764	4	20	VA	TS	Y-TS	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2013	Phase2	Phase4	4	3	Large	Phase2Large	1	1	1	1	2016
1AKET011.03	2	-77.651553	38.721743	1	947.6292	2	21	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2002	Phase1	Phase1	2	2	Small	Phase1Small	2008	1	1	1	1
1AKET012.22	2	-77.6661	38.7251	1	947.6292	2	22	VA	TS	Y -TS	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2014	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
1ALIV004.79	3	-77.6395	38.9752	1	541.5024	3	23	VA	TS	Y-TS	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2013	Phase2	Phase4	3	3	Medium	Phase2Medium	1	1	1	1	2016
1ALOE001.99	2	-77.25797373	38.82031556	1	947.6292	2	24	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Piedmont	Piedmont	2006	Phase1	Phase2	2	2	Small	Phase1Small	2008	2010	2012	1	1
1ALUC000.95	2	-77.523436	38.611379	1	947.6292	2	25	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2001	Phase1	Phase1	2	2	Small	Phase1Small	2008	1	1	1	1
1ANOF004.80	2	-77.65473785	38.81286103	1	947.6292	2	26	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2007	Phase1	Phase3	2	2	Small	Phase1Small	1	2010	2012	2014	1
1ANOG000.91	5	-77.659837	39.04457	1	140.3895	5	27	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2004	Phase1	Phase2	5	3	Large	Phase1Large	2008	2010	1	1	1
1AOPE028.72	4	-78.06457734	39.21034857	1	315.8764	4	28	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2010	Phase2	Phase3	4	3	Large	Phase2Large	1	1	2012	2014	2016
1APIA003.51	2	-77.7343	39.2962	1	947.6292	2	29	VA	TS	Target Wadeable	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Blue Ridge Mountains	Mountain	2011	Phase2	Phase4	2	3	Medium	Phase2Medium	1	1	1	2014	2016
1APOH008.54	3	-77.2198	38.7318	1	541.5024	3	30	VA	TS	Target Wadeable	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Piedmont	Piedmont	2011	Phase2	Phase4	3	3	Medium	Phase2Medium	1	1	1	2014	2016
1AWAC003.31	2	-77.726833	38.972062	1	947.6292	2	31	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2002	Phase1	Phase1	2	2	Small	Phase1Small	2008	1	1	1	1
1AXGU000.18	1	-77.79316403	39.01434325	1	3790.5166	1	32	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2006	Phase1	Phase2	1	2	Small	Phase1Small	2008	2010	2012	1	1
1AXJS001.20	1	-78.265696	39.324308	1	3790.5166	1	33	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2004	Phase1	Phase2	1	1	Small	Phase1Small	2008	2010	1	1	1
1AXKR000.77	1	-77.590456	39.257841	1	3790.5166	1	34	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase1	Northern Piedmont	Piedmont	2005	Phase1	Phase2	1	1	Small	Phase1Small	2008	2010	2012	1	1
1AXLB000.05	1	-77.5038	38.4278	1	3790.5166	1	35	VA	TS	Y -TS	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Piedmont	Piedmont	2014	Phase2	Phase4	1	2	Small	Phase2Small	1	1	1	1	2016
1AXLK000.04	2	-76.70307886	38.01463369	1	947.6292	2	36	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Southeastern Plains	Coast	2008	Phase2	Phase3	2	2	Small	Phase2Small	1	2010	2012	2014	1
1AXLR000.44	1	-77.60817644	38.5621068	1	3790.5166	1	37	VA	TS	Target	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2010	Phase2	Phase3	1	1	Small	Phase2Small	1	1	2012	2014	2016
1AXMJ000.42_2012	2	-77.5055	38.6375	1	473.8146	2	38	VA	TS	Target Wadeable	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Piedmont	Piedmont	2012	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	2014	2016
1AXMJ000.42_2014	2	-77.5055	38.6375	1	473.8146	2	39	VA	TS	Y -TS	1	Potomac-Shenandoah	Potomac	Bay	BayPhase2	Northern Piedmont	Piedmont	2014	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
1BBGR004.08	2	-78.6994	38.2914	1	947.6292	2	40	VA	TS	Target Wadeable	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Blue Ridge Mountains	Mountain	2011	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	2014	2016
1BBRY001.78	2	-79.03613329	38.41346631	1	947.6292	2	41	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2008	Phase2	Phase3	2	3	Medium	Phase2Medium	1	2010	2012	2014	1
1BBRY005.09	2	-79.10191761	38.44217789	1	947.6292	2	42	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2010	Phase2	Phase3	2	3	Medium	Phase2Medium	1	1	2012	2014	2016
1BBVR000.84	2	-79.038416	38.420286	1	947.6292	2	43	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2001	Phase1	Phase1	2	3	Medium	Phase1Medium	2008	1	1	1	1
1BCDR010.21	4	-78.345959	39.061279	1	315.8764	4	44	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2002	Phase1	Phase1	4	3	Large	Phase1Large	2008	1	1	1	1
1BCDR027.54	3	-78.459793	39.021724	1	541.5024	3	45	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2004	Phase1	Phase2	3	3	Medium	Phase1Medium	2008	2010	1	1	1
1BCPL002.83	2	-78.008437	39.102092	1	947.6292	2	46	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2001	Phase1	Phase1	2	2	Small	Phase1Small	2008	1	1	1	1
1BDRI000.21	1	-78.451691	38.686111	1	3790.5166	1	47	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2001	Phase1	Phase1	1	3	Medium	Phase1Medium	2008	1	1	1	1
1BGSR000.58	2	-78.4385	39.0741	1	947.6292	2	48	VA	TS	Y -TS	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2014	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
1BHPY002.67	2	-78.18595413	38.90968564	1	947.6292	2	49	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2008	Phase2	Phase3	2	3	Medium	Phase2Medium	1	2010	2012	2014	1
1BMDL025.92	3	-78.9776764	38.19904213	1	541.5024	3	50	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2009	Phase2	Phase3	3	4	Large	Phase2Large	1	1	2012	2014	2016
1BMDL026.58	3	-78.971832	38.192703	1	541.5024	3	51	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2002	Phase1	Phase1	3	4	Large	Phase1Large	2008	1	1	1	1
1BMIC001.99	2	-78.814542	38.329123	1	947.6292	2	52	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2005	Phase1	Phase2	2	3	Medium	Phase1Medium	2008	2010	2012	1	1
1BMIL006.68	2	-78.7295	38.7678	1	947.6292	2	53	VA	TS	Target Wadeable	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2012	Phase2	Phase4	2	3	Medium	Phase2Medium	1	1	1	2014	2016
1BMSS001.35	2	-79.0172	38.3749	1	947.6292	2	54	VA	TS	Y-TS	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2013	Phase2	Phase4	2	3	Medium	Phase2Medium	1	1	1	1	2016
1BNFS020.11	4	-78.38914729	38.94936602	1	315.8764	4	55	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2007	Phase1	Phase3	4	4	Large	Phase1Large	1	2010	2012	2014	1
1BNFS048.74	4	-78.483557	38.856791	1	315.8764	4	56	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2003	Phase1	Phase1	4	4	Large	Phase1Large	2008	2010	1	1	1
1BNFS093.80	4	-78.8566	38.6353	1	315.8764	4	57	VA	TS	Y -TS	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2014	Phase2	Phase4	4	4	Large	Phase2Large	1	1	1	1	2016
1BNFS102.55	4	-78.920557	38.703167	1	315.8764	4	58	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2002	Phase1	Phase1	4	3	Large	Phase1Large	2008	1	1	1	1
1BNKW001.97	2	-78.516144	38.48316	1	947.6292	2	59	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Blue Ridge Mountains	Mountain	2003	Phase1	Phase1	2	2	Small	Phase1Small	2008	2010	1	1	1
1BNTH046.56	2	-79.23751331	38.33238264	1	947.6292	2	60	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2007	Phase1	Phase3	2	3	Medium	Phase1Medium	1	2010	2012	2014	1
1BPGH000.29	1	-78.48450377	38.90262017	1	3790.5166	1	61	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2009	Phase2	Phase3	1	3	Medium	Phase2Medium	1	1	2012	2014	2016
1BSMT001.53	3	-78.63865546	38.71154259	1	541.5024	3	62	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2008	Phase2	Phase3	3	3	Large	Phase2Large	1	2010	2012	2014	1
1BSMT009.08	3	-78.65511242	38.6608366	1	541.5024	3	63	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2007	Phase1	Phase3	3	3	Large	Phase1Large	1	2010	2012	2014	1
1BSTH005.36	4	-78.83627663	38.2443349	1	315.8764	4	64	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2010	Phase2	Phase3	4	4	Large	Phase2Large	1	1	2012	2014	2016
1BSTH013.58	4	-78.859945	38.163763	1	315.8764	4	65	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2005	Phase1	Phase2	4	3	Large	Phase1Large	2008	2010	2012	1	1
1BSTH029.45	4	-78.92006	38.047813	1	315.8764	4	66	VA	TS	Target	1	Potomac-Shenandoah	Shenandoah	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2003	Phase1	Phase1	4	3	Large	Phase1Large	2008	2010	1	1	1
2ABLD014.73	3	-79.5598	37.7488	1	541.5024	3	67	VA	TS	Y-TS	1	James	James	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2013	Phase2	Phase4	3	3	Medium	Phase2Medium	1	1	1	1	2016
2AMLC000.84	2	-79.2008	37.9217	1	947.6292	2	68	VA	TS	Target Wadeable	1	James	James	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2011	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	2014	2016
2-APP037.08	6	-77.728634	37.28548	1	140.3895	5	69	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2005	Phase1	Phase2	6	4	Large	Phase1Large	2008	2010	2012	1	1
2-APP080.58	5	-78.09343289	37.45096379	1	140.3895	5	70	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2006	Phase1	Phase2	5	4	Large	Phase1Large	2008	2010	2012	1	1
2-APP082.00	5	-78.10155	37.445619	1	140.3895	5	71	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2001	Phase1	Phase1	5	4	Large	Phase1Large	2008	1	1	1	1
2-APP095.21	5	-78.23963362	37.37696825	1	140.3895	5	72	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2006	Phase1	Phase2	5	4	Large	Phase1Large	2008	2010	2012	1	1
2-APP114.05	4	-78.420305	37.323341	1	315.8764	4	73	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2002	Phase1	Phase1	4	3	Large	Phase1Large	2008	1	1	1	1
2AXQS001.07	2	-79.7736135	37.71675207	1	947.6292	2	74	VA	TS	Target	1	James	James	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2006	Phase1	Phase2	2	2	Small	Phase1Small	2008	2010	2012	1	1
2BBAA003.06	1	-78.30703533	37.57103354	1	3790.5166	1	75	VA	TS	Target	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2010	Phase2	Phase3	1	2	Small	Phase2Small	1	1	2012	2014	2016
2BBYR000.08	4	-78.0938	37.7231	1	315.8764	4	76	VA	TS	Target Wadeable	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2011	Phase2	Phase4	4	3	Large	Phase2Large	1	1	1	2014	2016
2BCBL002.86	1	-79.0001	37.8778	1	3790.5166	1	77	VA	TS	Y-TS	1	James	James	Bay	BayPhase2	Blue Ridge Mountains	Mountain	2013	Phase2	Phase4	1	1	Small	Phase2Small	1	1	1	1	2016
2-BCC001.90	2	-79.9057917	38.04965682	1	947.6292	2	78	VA	TS	Target	1	James	James	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2006	Phase1	Phase2	2	3	Large	Phase1Large	2008	2010	2012	1	1
2-BCR007.68	3	-79.1005	37.3231	1	541.5024	3	79	VA	TS	Target Wadeable	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2012	Phase2	Phase4	3	3	Medium	Phase2Medium	1	1	1	2014	2016
2-BFL011.64	4	-78.48549221	37.24985144	1	315.8764	4	80	VA	TS	Target	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2008	Phase2	Phase3	4	3	Large	Phase2Large	1	2010	2012	2014	1
2-BFL016.79	3	-78.539223	37.204166	1	541.5024	3	81	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2001	Phase1	Phase1	3	3	Medium	Phase1Medium	2008	1	1	1	1
2BGOW001.00	2	-78.8438	37.9838	1	947.6292	2	82	VA	TS	Y -TS	1	James	James	Bay	BayPhase2	Northern Piedmont	Piedmont	2014	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
2-BGU005.95	3	-78.274432	37.420829	1	541.5024	3	83	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2005	Phase1	Phase2	3	3	Medium	Phase1Medium	2008	2010	2012	1	1
2-BLB002.04	2	-77.013145	37.181987	1	947.6292	2	84	VA	TS	Target	1	James	James	Bay	BayPhase1	Southeastern Plains	Coast	2003	Phase1	Phase1	2	2	Small	Phase1Small	2008	2010	1	1	1
2-BLD012.09	4	-79.49132755	37.73281761	1	315.8764	4	85	VA	TS	Target	1	James	James	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2008	Phase2	Phase3	4	3	Large	Phase2Large	1	2010	2012	2014	1
2BLIR007.16	1	-79.1644	37.7645	1	3790.5166	1	86	VA	TS	Target Wadeable	1	James	James	Bay	BayPhase2	Blue Ridge Mountains	Mountain	2012	Phase2	Phase4	1	1	Small	Phase2Small	1	1	1	2014	2016
2BMCM014.13	4	-78.6722	38.0289	1	315.8764	4	87	VA	TS	Y-TS	1	James	James	Bay	BayPhase2	Northern Piedmont	Piedmont	2013	Phase2	Phase4	4	3	Medium	Phase2Medium	1	1	1	1	2016
2-BNF003.52	2	-79.20181	37.718773	1	947.6292	2	88	VA	TS	Target	1	James	James	Bay	BayPhase1	Blue Ridge Mountains	Mountain	2001	Phase1	Phase1	2	2	Small	Phase1Small	2008	1	1	1	1
2BPRS001.90	2	-79.1456	37.7908	1	947.6292	2	89	VA	TS	Y -TS	1	James	James	Bay	BayPhase2	Blue Ridge Mountains	Mountain	2014	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
2-BRI007.80	3	-78.424088	37.222551	1	541.5024	3	90	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2004	Phase1	Phase2	3	3	Medium	Phase1Medium	2008	2010	1	1	1
2BRKR012.86	2	-78.9088	37.7253	1	947.6292	2	91	VA	TS	Y-TS	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2013	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
2-BSR012.33	3	-78.3943	37.1725	1	541.5024	3	92	VA	TS	Y -TS	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2014	Phase2	Phase4	3	3	Medium	Phase2Medium	1	1	1	1	2016
2-BSR018.10	2	-78.43578	37.10997	1	947.6292	2	93	VA	TS	Target	1	James	James	Bay	BayPhase1	Piedmont	Piedmont	2005	Phase1	Phase2	2	2	Small	Phase1Small	2008	2010	2012	1	1
2BTYS000.85	3	-79.05848	37.856135	1	541.5024	3	94	VA	TS	Target	1	James	James	Bay	BayPhase1	Blue Ridge Mountains	Mountain	2002	Phase1	Phase1	3	3	Medium	Phase1Medium	2008	1	1	1	1
2-BVC003.09	3	-78.72229743	37.73593646	1	541.5024	3	95	VA	TS	Target	1	James	James	Bay	BayPhase1	Northern Piedmont	Piedmont	2007	Phase1	Phase3	3	3	Medium	Phase1Medium	1	2010	2012	2014	1
2BWTN007.39	2	-78.62882482	37.62009229	1	947.6292	2	96	VA	TS	Target	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2010	Phase2	Phase3	2	2	Small	Phase2Small	1	1	2012	2014	2016
2BXAC000.38	1	-78.75306811	37.5889749	1	3790.5166	1	97	VA	TS	Target	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2010	Phase2	Phase3	1	1	Small	Phase2Small	1	1	2012	2014	2016
2BXAD000.07	1	-78.4909	37.7458	1	3790.5166	1	98	VA	TS	Target Wadeable	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2011	Phase2	Phase4	1	1	Small	Phase2Small	1	1	1	2014	2016
2BXAP001.46	1	-78.0485	37.7375	1	3790.5166	1	99	VA	TS	Y-TS	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2013	Phase2	Phase4	1	1	Small	Phase2Small	1	1	1	1	2016
2BXRK001.64_2012	1	-78.7299	37.8114	1	1895.2583	1	100	VA	TS	Target Wadeable	1	James	James	Bay	BayPhase2	Northern Piedmont	Piedmont	2012	Phase2	Phase4	1	1	Small	Phase2Small	1	1	1	2014	2016
2BXRK001.64_2014	1	-78.7299	37.8114	1	1895.2583	1	101	VA	TS	Y -TS	1	James	James	Bay	BayPhase2	Northern Piedmont	Piedmont	2014	Phase2	Phase4	1	1	Small	Phase2Small	1	1	1	1	2016
2-BYN001.90	2	-78.5307	37.5415	1	947.6292	2	102	VA	TS	Y -TS	1	James	James	Bay	BayPhase2	Piedmont	Piedmont	2014	Phase2	Phase4	2	2	Small	Phase2Small	1	1	1	1	2016
2-CAT007.31	4	-79.83690356	37.54386233	1	315.8764	4	103	VA	TS	Target	1	James	James	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2008	Phase2	Phase3	4	3	Large	Phase2Large	1	2010	2012	2014	1
2-CAT026.55	3	-80.016356	37.439488	1	541.5024	3	104	VA	TS	Target	1	James	James	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2003	Phase1	Phase1	3	3	Medium	Phase1Medium	2008	2010	1	1	1
2-CAT028.98	3	-80.03232708	37.41429253	1	541.5024	3	105	VA	TS	Target	1	James	James	Bay	BayPhase2	Central Appalachian Ridges and Valleys	Mountain	2010	Phase2	Phase3	3	3	Medium	Phase2Medium	1	1	2012	2014	2016
2-CEL001.00	3	-77.40824	37.437651	1	541.5024	3	106	VA	TS	Target	1	James	James	Bay	BayPhase1	Southeastern Plains	Coast	2001	Phase1	Phase1	3	3	Medium	Phase1Medium	2008	1	1	1	1
2-CHK070.14	4	-77.4379072	37.67636604	1	315.8764	4	107	VA	TS	Target	1	James	James	Bay	BayPhase1	Southeastern Plains	Coast	2007	Phase1	Phase3	4	3	Large	Phase1Large	1	2010	2012	2014	1
2-CLL003.21	3	-79.58305986	37.78170985	1	541.5024	3	108	VA	TS	Target	1	James	James	Bay	BayPhase1	Central Appalachian Ridges and Valleys	Mountain	2007	Phase1	Phase3	3	3	Medium	Phase1Medium	1	2010	2012	2014	1
