DataSource,StationID,Year,StationID_Trend,LongitudeDD,LatitudeDD,stratum,designweight,weightcategory,station,state,status,comment,set,Basin,SubBasin,BayShed,BayPanel,EcoRegion,BioRegion,Panel,BioPanel,Order,BasinSize,StreamSizeCat,StreamSizeCatPhase,AREA_SQ_MILES,IR2008,IR2010,IR2012,IR2014,IR2016,IR2018,IR2020,DO,pH,SpCond,TN,TP,TDS,NH4,NO3,TKN,Ortho-P,Turb,TSS,Na,K,Cl,Sf,70331VFine,SSCCOARSE,SSCFINE,SSCTOTAL,LRBS,Slope,FN_PCT,SA_PCT,SA_FN_PCT,LSUB_DMM,BL_CB_GR_Embed_PCT,Embed_PCT,TotHab,TotTaxa,EPTTax,VEphem,VPTHydropsychidae,VScrap,VChiro,V2Dom,HBI,VHapto,EPTInd,VSCIVCPMI,MetalCCU,ARSENICppm,BERYLLIUMppm,CADMIUMppm,CHROMIUMppm,COPPERppm,LEADppm,MANGppm,NICKELppm,SILVERppm,ZINCppm,ANTIMONYppm,ALUMINUMppm,SELENIUMppm,IRONppm,MERCURYppm,THALLIUMppm,CALCIUM,MAGNESIUM,ARSENIC,BARIUM,BERYLLIUM,CADMIUM,CHROMIUM,COPPER,IRON,LEAD,MANGANESE,THALLIUM,NICKEL,SILVER,ZINC,ANTIMONY,ALUMINUM,SELENIUM,HARDNESS,MERCURY,Hg-C,YearSampled,NLCD,totalArea_sqMile,PWater,N_INDEX,PFOR,PWETL,PSHRB,PNG,PBAR,PTotBAR,U_INDEX,PURB,PMBAR,PAGT,PAGP,PAGC,S,H,Hprime,C,RNAT1,RFOR1,RWETL1,RSHRB1,RNG1,RBAR1,RTotBAR1,RHUM1,RURB1,RMBAR1,RAGT1,RAGP1,RAGC1,RNAT30,RFOR30,RWETL30,RSHRB30,RNG30,RBAR30,RTotBAR30,RHUM30,RURB30,RMBAR30,RAGT30,RAGP30,RAGC30,RNAT120,RFOR120,RWETL120,RSHRB120,RNG120,RBAR120,RTotBAR120,RHUM120,RURB120,RMBAR120,RAGT120,RAGP120,RAGC120,sqMileImp,wshdImpPCT,MunMajor,MunMinor,IndMajor,IndMinor,damcount,STRMLEN,STRMDENS,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshdPOP2000,POPDENS2000,wshdPOP2010,POPDENS2010,POPCHG2000_2010,RDLEN,RDLEN120,STXRD_CNT,RDDENS,pctRoadLengthInRiparian,STXRD
State ProbMon,4AWEL000.59,2005,4AWEL000.59,-79.505656,37.256679,1,947.6292,2,235,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase1,Piedmont,Piedmont,Phase1,Phase2,2,2,Small,Phase1Small,5.487773667,2008,2010,2012,1,1,1,1,9.095,7.29,82.14,1.16,0.06,72,7.00E-02,0.67,0.3,0.05,13,9,1.78,1.52,2.13,1.54,NA,NA,NA,NA,-1.124,0.4533,20,37.143,57.143,0.1,47.955,79.182,124.5,13,7.5,23.45,1.05,19.115,20.8,55.4,5.12,70.36,76,52.615,0.6598,5,5,1,39.6,11.1,6.44,343,9.72,1,46.6,5,11800,1,22700,0.1,5,6.18,2.69,0.1,20.8,0.1,0.1,0.1,0.4,120,0.1,42.5,0.1,0.3,0.1,1,0.5,4.3,0.5,22,1.5,U,2005,2006,5.487773667,0.278586805,30.0683804,30.0683804,0,0,0,0,5.109535267,69.6530328,7.186273268,5.109535267,62.46675953,62.46675953,0,8,1.152443987,0.554208408,0.559626314,20.93023256,20.93023256,0,0,0,0,0,76.74418605,0,0,76.74418605,76.74418605,0,34.28571429,34.28571429,0,0,0,0,1.751152074,64.97695853,2.02764977,1.751152074,62.94930876,62.94930876,0,34.45709282,34.45709282,0,0,0,0,2.232924694,65.25831874,2.802101576,2.232924694,62.45621716,62.45621716,0,0.059907621,1.091553755,0,1,0,0,0,15893.29391,1.118194946,217,340,268.0324631,19.93941955,123,0,23.5080986,6.027987648,3.441764031,23.5080986,1077.76,1078.07,42.43151898,42.44372371,347.9748061,24.48225469,436.416448,30.70469024,25.41610496,45693.05939,6136.760365,8,1.49059897,13.43039938,0.503356953
State ProbMon,4AXMU001.98,2005,4AXMU001.98,-79.730803,36.672187,1,947.6292,2,236,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase1,Piedmont,Piedmont,Phase1,Phase2,2,2,Small,Phase1Small,1.063590114,2008,2010,2012,1,1,1,1,9.095,6.63,65.995,0.51,0.01,53,0.04,0.53,0.1,0.05,3.9,3,2.04,0.98,5.93,1.05,NA,NA,NA,NA,-1.163,0.7867,2.857,66.667,69.524,0.228,36.875,76.182,138.5,18,12,25.41,32.8,22.13,14.75,41.8,3.74,75.41,88,77.46,0.5556,5,5,1,18.5,9.83,9.43,101,5.9,1,35.4,5,10400,1,14100,0.1,5,4.37,1.7,0.2,17.1,0.1,0.1,0.1,0.2,50,0.1,11.6,0.1,0.2,0.1,1,0.5,1.9,0.5,17,1.5,U,2005,2006,1.063590114,0,61.38516825,59.71904606,0,2.417510617,1.666122182,0,8.101927475,36.19732114,14.53773277,8.101927475,21.65958837,21.65958837,0,10,1.347754932,0.58532253,0.62687651,90.47619048,90.47619048,0,0,0,0,0,9.523809524,9.523809524,0,0,0,0,92.61363636,92.61363636,0,1.704545455,0,0,1.704545455,5.681818182,4.545454545,1.704545455,1.136363636,1.136363636,0,86.59286593,86.4698647,0,0.73800738,0.12300123,0,3.93603936,12.66912669,7.749077491,3.93603936,4.9200492,4.9200492,0,0.030228329,2.841881738,0,0,0,0,0,2499.37965,0.907314265,268,321,295.0356932,11.54161241,53,0,10.92611027,4.175072955,2.015973773,10.92611027,3461.1,1153.35,136.2638531,45.40750484,187.0039749,67.88539471,175.3179326,63.64317688,-6.24908766,22902.12409,3790.73113,6,5.163067856,16.55187578,2.400595684
State ProbMon,4AXUS000.65,2005,4AXUS000.65,-79.100542,36.788677,1,3790.5166,1,237,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase1,Piedmont,Piedmont,Phase1,Phase2,1,1,Small,Phase1Small,0.154053654,2008,2010,2012,1,1,1,1,10.025,6.31,45.75,0.4,0.01,46,0.04,0.35,0.2,0.05,4.4,4,4.33,1.24,2.41,1.54,NA,NA,NA,NA,-1.141,3.253333333,25.714,23.81,49.524,0.828,42.778,67.636,141,19,13,22.81,27.95,7.265,28.545,43.83,3.685,66.73,61,70.05,0.7046,5,5,1,11.5,128,73.4,213,5,1,169,5,22800,1,20000,0.1,5,2.19,1.36,0.1,14.8,0.1,0.1,0.1,0.3,103,0.1,64,0.1,0.2,0.1,4.4,0.5,4.9,0.5,11,1.5,U,2005,2006,0.154053654,0,34.74387528,34.74387528,0,0,0,0,6.681514477,65.25612472,8.240534521,6.681514477,57.0155902,57.0155902,0,6,1.180721226,0.658973063,0.596574422,62.5,62.5,0,0,0,0,0,37.5,0,0,37.5,37.5,0,64.28571429,64.28571429,0,0,0,0,0,35.71428571,0,0,35.71428571,35.71428571,0,56.25,56.25,0,0,0,0,0,43.75,0,0,43.75,43.75,0,0.001344794,0.861915367,0,0,0,0,0,590.9984625,1.481201524,150,194,174.6020408,8.952887135,44,0.355126977,16.41124916,5.298261934,2.924048382,16.05612218,1099.68,1099.68,43.29451157,43.29451157,3.326351546,8.336734003,3.340133855,8.371276187,0.414337124,2816.2813,511.3924043,2,2.73552649,18.15842772,3.384103558
State ProbMon,5AFNY004.78,2005,5AFNY004.78,-78.497382,36.842449,1,3790.5166,1,238,VA,TS,Target,1,Chowan,Chowan,NonBay,NonBayPhase1,Piedmont,Piedmont,Phase1,Phase2,1,1,Small,Phase1Small,0.144220535,2008,2010,2012,1,1,1,1,10.17,7.18,178.5,0.47,0.02,126,0.04,0.31,0.3,0.05,4.6,3,14.7,1.31,32,4.78,NA,NA,NA,NA,-3.632,1.7,99.048,0.952,100,-2.095,NA,100,69.5,7.5,1,0,NA,5.035,75.01,89.58,6.165,14.86,3,18.105,0.3857,5,5,1,52,20.7,10.8,716,8.14,1,40.53,5,13400,1,42800,0.1,5,13.7,6.67,0.22,21.9,0.1,0.1,0.1,0.37,50,0.1,82.4,0.1,0.23,0.1,2.5,0.5,1,0.5,56,1.5,U,2005,2006,0.144220535,4.556354916,3.836930456,2.398081535,0,0,1.438848921,0,3.357314149,91.60671463,3.357314149,3.357314149,88.24940048,86.57074341,1.678657074,6,0.598616522,0.334094242,0.246283549,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,44.28571429,40,0,0,4.285714286,0,0,42.85714286,0,0,42.85714286,42.85714286,0,0.000284943,0.196642686,0,0,0,0,0,70.62168578,0.189064843,157,178,164.8801743,5.300656956,21,0,5.889733315,2.304951509,1.185887978,5.889733315,1096.48,1096.48,43.16852725,43.16852725,7.780213095,20.8287972,2.985161949,7.9917262,-61.63136006,964.8267473,0,0,0,0,0
State ProbMon,5ANTW103.18,2005,5ANTW103.18,-77.672222,36.90055,1,315.8764,4,239,VA,TS,Target,1,Chowan,Chowan,NonBay,NonBayPhase1,Piedmont,Piedmont,Phase1,Phase2,4,4,Large,Phase1Large,467.8319296,2008,2010,2012,1,1,1,1,9.555,7.2,84.55,0.32,0.02,59,0.13,0.04,0.1,0.02,8.4,4,4.74,1.31,5.32,2.9,NA,NA,NA,NA,-0.829,0.01,33.654,43.269,76.923,-0.505,67.273,92,152,17.5,8.5,19.09,15.2,51.36,12.345,54.62,4.14,72.085,43,67.23,0.6976,5,5,1,7.74,5,5,399,5,1,20.1,5,5420,1,6990,0.1,5,4,1.65,0.2,19.7,0.1,0.1,0.2,0.4,274,0.1,35,0.2,0.2,0.1,1.2,0.1,10.8,0.5,17,1.5,U,2005,2006,467.8319296,0.549729295,70.32167446,65.86976593,3.979947991,3.922382769,3.969029168,0.40585338,4.358392898,21.30329147,5.308701856,3.952539518,15.99458961,14.66501869,1.32957092,15,1.813895908,0.669816205,0.766720221,53.67756315,50.52005944,38.33580981,2.340267459,1.894502229,0.037147103,1.002971768,2.786032689,1.002971768,0.965824666,1.783060921,1.634472511,0.14858841,57.64722617,54.34992888,33.18065434,2.614509246,2.560455192,0.112375533,1.209103841,3.998577525,1.291607397,1.096728307,2.706970128,2.584637269,0.122332859,68.6120963,64.75330701,18.85379443,3.352932894,3.229569637,0.189738054,1.780721809,7.712885426,1.837375044,1.590983755,5.875510382,5.463182102,0.41232828,3.930621009,0.840184833,1,7,0,4,14,1033301.082,0.852779647,40,199,113.93646,29.34107632,159,0,27.95808029,3.359689538,2.050198354,27.95808029,140302.06,1117.16,5523.706132,43.98270092,17128.48773,14.13607899,17405.90934,14.36503404,1.619650337,4247604.111,381258.4466,725,1.419991703,8.975847009,0.701634802
State ProbMon,6APNR034.58,2005,6APNR034.58,-82.597022,37.118619,1,315.8764,4,240,VA,TS,Target,1,Tennessee,Big Sandy,NonBay,NonBayPhase1,Central Appalachians,Mountain,Phase1,Phase2,4,3,Medium,Phase1Medium,47.95191276,2008,2010,2012,1,1,1,1,9.25,7.97,1003.5,0.64,0.01,405,0.04,0.53,0.1,0.02,10.4,10,21.2,2.24,3.22,256,NA,NA,NA,NA,-0.86,0.12857,13,44,57,0.108,37.188,81.727,95,8,3,2.04,NA,12.24,4.76,88.44,5.76,92.52,116,33.13,0.5758,5,5,1,5.25,5.96,6.5,1340,32.3,1,80.6,5,3510,1,12800,0.1,5,49.8,35,0.1,21.1,0.1,0.1,0.1,0.5,50,0.1,217,0.1,5.2,0.1,3.7,0.5,27.4,1,268,1.5,U,2005,2006,47.95191276,0.449272107,90.32760632,71.20383186,0,0.52173535,12.58251752,6.541256947,9.009355005,8.701386222,4.640546083,2.468098057,4.060840139,4.060840139,0,12,1.330990782,0.535630094,0.571252737,83.01158301,52.50965251,0,0,26.25482625,4.247104247,10.81081081,15.83011583,13.12741313,6.563706564,2.702702703,2.702702703,0,77.34966286,52.78656942,0,0.027521673,19.30645383,5.256639604,13.40305491,20.37979909,17.29737168,8.146415302,3.082427412,3.082427412,0,80.23769321,60.12469152,0,0.116898298,15.14157683,4.97142486,12.38472529,18.14521366,15.19353163,7.413300429,2.951682037,2.951682037,0,0.521717539,1.087948638,0,0,0,0,1,106971.5604,0.861315369,459,1144,637.7293182,111.5461339,685,0,49.68752289,18.19163308,8.3348416,49.68752289,14004.54,1153.42,551.3601403,45.41026074,2653.569414,21.36605386,2797.873302,22.52796228,5.438104923,437653.0977,218425.4175,173,7.877568637,49.90834491,1.617252281
State ProbMon,6ARPC002.45,2005,6ARPC002.45,-82.265776,37.207757,1,541.5024,3,241,VA,TS,Target,1,Tennessee,Big Sandy,NonBay,NonBayPhase1,Central Appalachians,Mountain,Phase1,Phase2,3,3,Medium,Phase1Medium,22.9049671,2008,2010,2012,1,1,1,1,9.495,8.955,778.5,0.6,0.02,248,0.04,0.46,0.1,0.02,9.1,7,7.6,1.72,3.36,135,NA,NA,NA,NA,-0.162,0.7625,0.952,21.905,22.857,1.558,37.576,51.636,132,13,4,5.56,0.7,19.255,31.695,74.1,5.515,64.16,55,39.33,0.4301,5,5,1,8.66,12.3,24.8,612,20.8,1,97.3,5,5750,1,18300,0.1,5,55.5,18.8,0.1,26.2,0.1,0.1,0.1,0.4,50,0.1,44.3,0.1,2.2,0.1,3.2,0.5,21.6,0.7,216,1.5,U,2005,2006,22.9049671,0.021237864,87.66383495,69.05643204,0,0.9375,13.78944175,4.817961165,9.754247573,11.37742718,7.771541262,4.936286408,3.605885922,3.602851942,0.003033981,13,1.18188803,0.460784158,0.517234172,67.4796748,26.01626016,0,0,37.39837398,4.06504065,19.51219512,29.26829268,28.45528455,15.44715447,0.81300813,0.81300813,0,68.39305711,31.80291153,0,0.223964166,32.44680851,4.143337066,16.20940649,31.01903695,29.25531915,12.06606943,1.763717805,1.763717805,0,74.46257962,52.97239915,0,0.179140127,18.33200637,3.158174098,15.93683652,25.26539278,23.69957537,12.77866242,1.56581741,1.56581741,0,0.345188128,1.506932646,0,1,0,0,0,52639.25279,0.887319131,424,741,561.8961173,56.4554074,317,0,56.22255707,20.64797657,7.795856295,56.22255707,6954.2,1157.39,273.7875494,45.56656004,1533.501887,25.84963673,1767.226515,29.78944064,15.24123512,248093.8667,136608.8716,131,10.06310925,55.06338123,2.488637149
State ProbMon,6BDRA001.07,2005,6BDRA001.07,-82.781837,36.731276,1,947.6292,2,242,VA,TS,Target,1,Tennessee,Clinch-Powell,NonBay,NonBayPhase1,Central Appalachians,Mountain,Phase1,Phase2,2,2,Small,Phase1Small,3.933870721,2008,2010,2012,1,1,1,1,11.55,8.47,69,0.26,0.01,47,0.04,0.21,0.1,0.02,4,4,1,0.41,1.06,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,12,8,44.09,38.7,34.41,6.45,47.31,3.38,92.47,77,79.12,0.4834,5.29,5,1,12.7,8.4,11.9,475,14,1,49.2,5,7020,1,15900,0.1,5,11.3,1.7,0.1,12,0.1,0.1,0.1,0.2,50,0.1,0.8,0.1,0.2,0.1,1.6,0.5,5.8,0.5,35,1.5,U,2005,2006,3.933870721,0,88.63656446,85.2611116,0,0.176725281,3.375452859,0,10.74489706,11.18671026,10.91278607,10.74489706,0.273924185,0.273924185,0,8,0.613427666,0.294996351,0.289433987,86.95652174,86.95652174,0,0,0,0,13.04347826,13.04347826,13.04347826,13.04347826,0,0,0,76.62889518,75.07082153,0,0,1.558073654,0,22.94617564,23.37110482,23.37110482,22.94617564,0,0,0,77.91286727,73.82641,0,0.303951368,4.086457278,0,20.90509963,21.78318136,21.54677474,20.90509963,0.236406619,0.236406619,0,0.014963006,0.380489529,0,0,0,0,0,10556.63359,1.036108331,475,1069,809.3526146,141.9326646,594,0,52.20879745,15.57646842,7.071392373,52.20879745,7701.18,1282.37,303.1962267,50.48703514,136.7264873,13.41937762,113.317569,11.1218483,-17.12098273,48900.27486,25955.53947,14,9.737753739,53.07851448,1.326180347
State ProbMon,6BLTR025.03,2005,6BLTR025.03,-81.739359,37.022731,1,541.5024,3,243,VA,TS,Target,1,Tennessee,Clinch-Powell,NonBay,NonBayPhase1,Central Appalachian Ridges and Valleys,Mountain,Phase1,Phase2,3,4,Large,Phase1Large,71.70959564,2008,2010,2012,1,1,1,1,11.075,8.585,252.25,1.42,0.02,140,0.04,1.43,0.1,0.05,5,5,1.7,0.78,2.81,3.18,NA,NA,NA,NA,2.20E-02,0.4313,13.462,11.538,25,1.344,23.871,35.273,150,16.5,10,47.785,11.25,42.515,3.485,44.45,3.755,94.71,92.5,77.645,0.2766,5,5,1,9.73,5,9.19,390,6.22,1,24.33,5,4760,1,10600,0.1,5,19.8,8.8,0.1,17.8,0.1,0.1,0.2,0.2,50,0.1,3.5,0.1,0.1,0.1,1,0.5,3.6,0.5,86,1.5,U,2005,2006,71.70959564,0,52.37462927,51.32979239,0.009692364,1.296838351,0.937251633,0.107585244,2.721615911,46.31884002,2.653284742,2.614030667,43.66555528,43.59673949,0.068815787,12,1.003255279,0.403739625,0.563721259,47.6744186,43.89534884,0.290697674,0.581395349,3.197674419,0.581395349,4.360465116,51.45348837,4.069767442,3.779069767,47.38372093,47.09302326,0.290697674,40.45102952,37.20448851,0.076261031,0.751715873,2.778080401,0.468460617,6.91796492,58.72099357,6.591131932,6.449504303,52.12986164,51.92286741,0.206994226,39.46159238,37.60286597,0.038939799,0.568521066,1.638067548,0.220658861,7.629604631,59.93094676,7.512785234,7.40894577,52.41816152,52.23125049,0.186911036,0.0608111,0.084808188,0,0,0,1,0,134653.5513,0.725003895,642,1432,889.8602417,132.002247,790,0,52.60020447,13.85854083,8.078945682,52.60020447,20939.58,1118.28,824.3933586,44.02679543,1827.882442,9.841715108,1384.332271,7.453544887,-24.26579306,341695.528,174775.4867,194,5.035256621,51.14948029,1.440734374
State ProbMon,6CMFH023.41,2005,6CMFH023.41,-81.731588,36.769244,1,315.8764,4,244,VA,TS,Target,1,Tennessee,Holston,NonBay,NonBayPhase1,Central Appalachian Ridges and Valleys,Mountain,Phase1,Phase2,4,4,Large,Phase1Large,179.5189292,2008,2010,2012,1,1,1,1,11.435,8.5,331.2,1.18,0.02,176,0.04,1,0.1,0.02,3.5,3,6,1.51,12.9,8.17,NA,NA,NA,NA,-0.395,0.1075,31.429,23.81,55.238,0.226,10.25,60.091,121,9,4.5,31.9,2,64.335,8.03,77.37,4.06,90.96,31,54.655,0.2525,5,5,1,15.3,10.5,17.9,365,11.8,1,74.3,5,5900,1,14900,0.1,5,36.6,13,0.1,45,0.1,0.1,0.6,0.4,50,0.1,12.7,0.2,0.3,0.1,1.2,0.1,3.7,0.5,145,1.5,U,2005,2006,179.5189292,0.070268491,57.44052343,57.16022378,0.053427283,0.209450435,0.186414758,0.091368397,5.630577441,42.22884686,8.889641689,5.539209044,33.33920517,33.14872529,0.190479878,15,1.092624583,0.403472795,0.570186589,47.53218884,47.21030043,0.536480687,0.321888412,0.321888412,0,9.656652361,51.28755365,15.34334764,9.656652361,35.94420601,35.72961373,0.214592275,46.9611995,46.31261684,0.579909198,0.23654191,0.480714204,0.160238068,10.53756057,51.57758193,14.44813246,10.3773225,37.12944947,36.70214795,0.427301515,46.48637925,46.10314075,0.307492538,0.170428416,0.299376899,0.0766477,10.5386079,52.70476208,15.78581927,10.4619602,36.9189428,36.45364618,0.465296627,3.30031917,1.838506359,1,1,0,2,1,385002.359,0.828043101,579,1238,762.7220392,115.1940187,659,0,54.29812241,11.34551975,7.177922051,54.29812241,56870.17,1084.65,2238.98428,42.70277897,21129.47836,45.44418592,22130.31791,47.5967397,4.736697858,1842201.99,722554.5773,912,7.2380668,39.22233183,2.368816655
State ProbMon,6CSFH104.35,2005,6CSFH104.35,-81.537467,36.760727,1,541.5024,3,245,VA,TS,Target,1,Tennessee,Holston,NonBay,NonBayPhase1,Blue Ridge Mountains,Mountain,Phase1,Phase2,3,4,Large,Phase1Large,51.94761319,2008,2010,2012,1,1,1,1,9.86,8.2,156.5,0.55,0.01,82,0.04,0.5,0.1,0.02,3.6,3,5.46,0.96,10.1,2.22,NA,NA,NA,NA,-0.119,0.4875,3.81,20.952,24.762,1.269,36.154,53.889,137,13.5,8,58.045,3.05,26.09,4.615,47.53,4.075,93.72,91.5,67.995,0.4229,5,5,1,8.61,5.01,13.4,596,8.45,1,54,5,4860,1,16700,0.1,5,10.3,6,0.1,20.6,0.1,0.1,0.5,0.1,50,0.1,2.2,0.2,0.1,0.1,5.7,0.1,3.7,0.5,50,1.5,U,2005,2006,51.94761319,0.028095525,78.61930564,78.34838451,0.032109171,0.133788213,0.211385377,0.059535755,2.868419292,21.18670145,3.132651013,2.808883537,18.05405044,17.81256271,0.241487725,14,0.736991323,0.279263097,0.373019498,62.64367816,62.64367816,0.574712644,0.574712644,0,0,4.022988506,36.20689655,7.183908046,4.022988506,29.02298851,29.02298851,0,70.63662375,70.63662375,0.262279447,0.035765379,0,0,6.616595136,29.01764425,7.820696233,6.616595136,21.19694802,21.17310443,0.023843586,68.06840876,67.99527439,0.151894461,0.042192906,0.028128604,0.045005766,7.690360327,31.61655087,8.76768586,7.645354561,22.84886501,22.69415769,0.154707322,0.119999412,0.231005418,0,0,0,0,3,123021.9899,0.914359436,704,1343,940.8842507,124.7120591,639,0,51.27882004,13.52137267,8.006254366,51.27882004,17100.32,1151.71,673.2413084,45.34293787,1790.183068,13.30551377,1486.68998,11.0498051,-16.95318728,346292.7655,197590.8722,172,6.175059202,57.0589085,1.398124028
State ProbMon,7-GLF003.77,2005,7-GLF003.77,-75.643902,37.819928,1,3790.5166,1,246,VA,TS,Target,1,Rappahannock-York,Cheasapeake Bay,Bay,BayPhase1,Middle Atlantic Coastal Plain,Coast,Phase1,Phase2,1,2,Small,Phase1Small,2.257465244,2008,2010,2012,1,1,1,1,9.6,6.77,230,3.51,0.06,144,0.04,3.06,0.8,0.05,11.4,15,9.51,2.83,11.8,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,12,2.5,3.19,5.05,22.49,25.37,51.49,6.665,20.525,11.5,53.13753737,0.8398,5,5,1,5,5.24,6.61,65.6,5,1,25.38,5,3880,1,4130,0.1,5,18.4,5.53,1,22.8,0.1,0.1,0.1,0.84,317,0.14,59.5,0.1,0.41,0.1,1.7,0.5,57.9,0.5,61,1.6,NULL,2005,2006,2.257465244,0,15.53398058,14.76344583,15.98089074,2.342425643,0.292803205,0,5.301279088,66.62043458,6.318384959,5.301279088,60.30204962,25.01155802,35.2904916,12,1.778081332,0.715552567,0.777652882,11.11111111,11.11111111,61.11111111,0,0,0,16.66666667,27.77777778,16.66666667,16.66666667,11.11111111,0,11.11111111,16.66666667,14.22764228,54.67479675,2.845528455,1.422764228,0,7.926829268,26.82926829,8.739837398,7.926829268,18.08943089,5.894308943,12.19512195,13.15028902,11.31984586,34.4894027,2.263969171,0.770712909,0,7.177263969,51.15606936,8.333333333,7.177263969,42.82273603,18.11175337,24.71098266,0.015717063,0.697025736,0,0,0,0,0,7247.538054,1.239564795,2,15,10.71883252,3.072070056,13,0,3.616833448,0.51292114,0.605662596,3.616833448,1043.33,1043.33,41.07600643,41.07600643,163.9731875,28.04474969,243.5525362,41.65540731,48.53192765,21525.67899,8143.999613,16,4.351249109,37.83388026,2.207646222
State ProbMon,8-NAR025.28,2005,8-NAR025.28,-77.617104,37.949384,1,140.3895,5,247,VA,TS,Target,1,Rappahannock-York,York,Bay,BayPhase1,Piedmont,Piedmont,Phase1,Phase2,5,4,Large,Phase1Large,417.2765138,2008,2010,2012,1,1,1,1,9.13,6.42,57.75,0.46,0.02,48,0.04,0.19,0.4,0.05,3.8,4,3.67,2.16,3.91,6.02,NA,NA,NA,NA,-1.181,3.75E-02,30,44,74,-0.325,65,89,162,20.5,7,22.3,12.15,43.765,7.285,37.745,5.12,69.095,41,69.74,1.34,5,5,1,17.5,22.1,12.9,473,6.5,1,69.3,5,5570,1,12300,0.1,5,2.35,1.9,0.3,16.3,0.1,0.1,0.1,1.9,121,0.1,19.6,0.1,0.3,0.1,4.9,0.5,8,0.5,14,1.5,U,2005,2006,417.2765138,4.850168007,56.62421045,54.39444724,3.096902598,9.162131666,2.02257577,0.125578239,5.685496463,26.34819648,6.439465543,5.559918224,19.90873094,15.42147405,4.48725689,15,1.930160089,0.712749006,0.791586562,39.07675792,38.3252818,31.18625872,4.99194847,0.214707461,0,1.663982823,13.04347826,2.093397746,1.663982823,10.95008052,8.85668277,2.093397746,40.83410495,39.97241067,26.85991799,5.691717531,0.393053535,0.026455526,1.445605548,13.08603715,1.757402823,1.419150022,11.32863433,9.123377237,2.205257091,48.6335996,47.31307571,15.54988846,7.855228123,0.915281376,0.049474669,2.000575705,16.89065199,2.280782239,1.951101036,14.60986975,11.4974633,3.112406448,2.646856989,0.634305843,0,3,1,0,15,778776.7506,0.720591007,44,345,110.7149893,25.67225659,301,0,32.17821503,3.601951299,2.42454,32.17821503,126841.01,1076.49,4993.743248,42.38151895,22017.48647,20.37246585,28124.69777,26.02338126,27.73800413,3657737.414,239836.4388,470,1.197857224,6.556961631,0.603510569
State ProbMon,8-STH006.43,2005,8-STH006.43,-77.472289,38.057595,1,315.8764,4,248,VA,TS,Target,1,Rappahannock-York,York,Bay,BayPhase1,Southeastern Plains,Coast,Phase1,Phase2,4,3,Medium,Phase1Medium,40.3554333,2008,2010,2012,1,1,1,1,8.135,6.795,86.05,0.46,0.04,70,0.04,0.18,0.4,0.05,7.8,4,6.63,1.63,7.54,2.88,NA,NA,NA,NA,-2.113,0.1167,63.81,30.476,94.286,-1.444,85,96,150.5,21.5,9,17.22,7.8,15.61,6.165,34.18,5.48,36.86,38,64.41127364,1.043,5,5,1,9.2,5,8.46,258,5,1,36.5,5,5260,1,9370,0.1,5,3.7,2.2,0.38,28,0.1,0.1,0.1,0.57,907,0.17,175,0.1,0.84,0.1,2.5,0.5,28.5,0.5,18,1.5,U,2005,2006,40.3554333,0.64914939,55.32578001,54.8574282,7.318858048,10.70666024,0.428748536,0.012914113,7.325745575,26.02624148,9.589159033,7.312831462,16.43708244,8.461326538,7.975755906,15,1.952351891,0.720943759,0.7998093,31.47208122,31.47208122,53.8071066,3.045685279,0,0,3.553299492,7.106598985,5.076142132,3.553299492,2.030456853,1.015228426,1.015228426,33.32717873,33.30871492,52.95420975,3.101920236,0.018463811,0,3.471196455,6.868537666,4.025110783,3.471196455,2.843426883,0.812407681,2.031019202,45.64349562,45.48294715,33.89742255,5.966328213,0.151870173,0,4.569122624,11.83285603,5.65824872,4.569122624,6.174607307,2.555758049,3.618849258,0.530686307,1.314820236,0,2,0,1,4,79320.77449,0.758900315,35,127,82.13381696,15.49940771,92,0,23.84493256,3.480467531,2.08022604,23.84493256,11803.24,1074.97,464.6947391,42.3216764,4061.805524,38.86126314,6229.796053,59.60347986,53.37504508,440586.0324,46292.73465,79,2.230902221,10.50708176,0.995955984
